document_id;document;jurisdiction;document_type;file_name;path;year;institution;legal_force_multiplier;status_assumption;notes
EU_01;Communication: Artificial Intelligence for Europe;EU;Policy communication / strategy;eu_2018_ai_for_europe.pdf;/content/eu_2018_ai_for_europe.pdf;2018;European Commission;0.80;Published policy document;
EU_02;Coordinated Plan on Artificial Intelligence;EU;Policy strategy / coordinated plan;eu_2018_coordinated_plan_ai.pdf;/content/eu_2018_coordinated_plan_ai.pdf;2018;European Commission / Member States;0.80;Published policy coordination document;
EU_03;Ethics Guidelines for Trustworthy AI;EU;Expert group guidelines / soft law;eu_2019_ethics_guidelines_trustworthy_ai.pdf;/content/eu_2019_ethics_guidelines_trustworthy_ai.pdf;2019;High-Level Expert Group on AI / European Commission;0.70;Non-binding expert guidelines;
EU_04;White Paper on Artificial Intelligence: A European approach to excellence and trust;EU;Policy communication / White Paper;eu_2020_white_paper_ai.pdf;/content/eu_2020_white_paper_ai.pdf;2020;European Commission;0.80;Published policy document;
EU_05;Communication: Fostering a European approach to Artificial Intelligence;EU;Policy communication / strategy;eu_2021_fostering_european_approach_ai_communication.pdf;/content/eu_2021_fostering_european_approach_ai_communication.pdf;2021;European Commission;0.80;Published policy communication;
EU_06;Coordinated Plan on Artificial Intelligence 2021 Review: Fostering a European approach to Artificial Intelligence;EU;Policy strategy / coordinated plan;eu_2021_coordinated_plan_ai_review.pdf;/content/eu_2021_coordinated_plan_ai_review.pdf;2021;European Commission / Member States;0.80;Published policy coordination document;
EU_07;Regulation (EU) 2024/1689: Artificial Intelligence Act;EU;Binding regulation;eu_2024_ai_act.pdf;/content/eu_2024_ai_act.pdf;2024;European Union;1.50;Adopted binding legislation;
EU_08;AI Pact;EU;Voluntary commitment / implementation initiative;eu_2024_ai_pact.pdf;/content/eu_2024_ai_pact.pdf;2024;European Commission / AI Office;0.60;Voluntary initiative;
EU_09;Apply AI Strategy;EU;Policy strategy / adoption strategy;eu_2025_apply_ai_strategy.pdf;/content/eu_2025_apply_ai_strategy.pdf;2025;European Commission;0.80;Published policy strategy;
EU_10;Communication from the Commission (2025) AI Continent Action Plan;EU;Policy communication / strategy;eu_2025_commission_communication.pdf;/content/eu_2025_commission_communication.pdf;2025;European Commission;0.80;Published policy communication;
EU_11;Guidelines on prohibited artificial intelligence practices established by Regulation (EU) 2024/1689;EU;Commission guidelines / AI Act implementation guidance;eu_2025_guidelines_prohibited_ai_practices.pdf;/content/eu_2025_guidelines_prohibited_ai_practices.pdf;2025;European Commission;0.70;Guidance document under the AI Act;
EU_12;Digital Omnibus simplification proposal;EU;Assumed adopted binding legislation;eu_2025_digital_omnibus_ai.pdf;/content/eu_2025_digital_omnibus_ai.pdf;2025;European Commission / European Union;1.50;Scenario assumption: treated as adopted binding legislation;
US_01;National Artificial Intelligence Initiative Act of 2020;US;Legislative bill / federal AI initiative legislation;us_2020_naiia.pdf;/content/us_2020_naiia.pdf;2020;US Congress;1.50;Included in the National Defense Authorization Act (NDAA) for Fiscal Year 2021.;
US_02;Blueprint for an AI Bill of Rights: Making Automated Systems Work for the American People;US;Policy blueprint / guidance;us_2022_ai_bill_of_rights.pdf;/content/us_2022_ai_bill_of_rights.pdf;2022;OSTP / White House;0.70;Non-binding policy blueprint;
US_03;Artificial Intelligence Risk Management Framework, AI RMF 1.0;US;Framework / guidance;us_2023_nist_ai_rmf.pdf;/content/us_2023_nist_ai_rmf.pdf;2023;NIST;0.70;Voluntary framework;
US_04;Executive Order 14110: Safe, Secure, and Trustworthy Development and Use of Artificial Intelligence;US;Executive Order;us_2023_eo_14110.pdf;/content/us_2023_eo_14110.pdf;2023;White House / Executive Office of the President;1.20;Executive order;
US_05;Executive Order 14141: Advancing United States Leadership in Artificial Intelligence Infrastructure;US;Executive Order;us_2025_eo_14141_ai_infrastructure.pdf;/content/us_2025_eo_14141_ai_infrastructure.pdf;2025;White House / Executive Office of the President;1.20;Executive order, later revoked;Record revocation by EO 14318 in notes.
US_06;Executive Order 14179: Removing Barriers to American Leadership in Artificial Intelligence;US;Executive Order;us_2025_eo_14179_removing_barriers_ai.pdf;/content/us_2025_eo_14179_removing_barriers_ai.pdf;2025;White House / Executive Office of the President;1.20;Executive order;
US_07;Executive Order 14318: Accelerating Federal Permitting of Data Center Infrastructure;US;Executive Order;us_2025_eo_14318_data_center_infrastructure.pdf;/content/us_2025_eo_14318_data_center_infrastructure.pdf;2025;White House / Executive Office of the President;1.20;Executive order;
US_08;Executive Order 14320: Promoting the Export of the American AI Technology Stack;US;Executive Order;us_2025_eo_14320_ai_technology_stack_exports.pdf;/content/us_2025_eo_14320_ai_technology_stack_exports.pdf;2025;White House / Executive Office of the President;1.20;Executive order;
US_09;America’s AI Action Plan;US;Policy action plan / strategy;us_2025_america_ai_action_plan.pdf;/content/us_2025_america_ai_action_plan.pdf;2025;White House;0.80;Published policy strategy;
US_10;Executive Order 14365: Ensuring a National Policy Framework for AI;US;Executive Order;us_2025_eo_14365_national_policy_framework_ai.pdf;/content/us_2025_eo_14365_national_policy_framework_ai.pdf;2025;White House / Executive Office of the President;1.20;Executive order;
US_11;White House National Policy Framework for AI — Legislative Recommendations;US;Policy framework / legislative recommendations;us_2026_national_policy_framework_ai_legislative_recommendations.pdf;/content/us_2026_national_policy_framework_ai_legislative_recommendations.pdf;2026;White House;0.80;Policy framework / recommendations;
US_12;California Senate Bill No. 420;US;State legislative bill / proposal;us_2025_california_sb_420.pdf;/content/us_2025_california_sb_420.pdf;2025;California Legislature;1.50;State legislative proposal;Not into effect
